Plant_ID,Vendor_ID
5004,100366340
5959,100806864
5258,100498525
5259,100366340
5258,100367349
5955,100368536
5258,100369162
5446,100364903
5259,100806864
5259,100364230
5955,100369162
5955,100074079
5004,101022661
5259,100367349
5446,100454856
5446,101059711
5004,100364230
5004,100364903
5259,101059711
5004,100369162
5959,100645090
5959,101059711
5258,100645090
5004,101059711
5258,100454856
5258,101059711
5258,100074079
5258,100364230
5955,100364903
5259,100369162
5259,100368536
5259,100364903
5004,100367349
5955,100367349
5959,100368536
5959,101022661
5959,100367349
5258,101119890
5446,100367349
5004,100454856
5258,101022661
5258,100364903
5004,100368536
5446,100364230
5259,101119890
5004,100498525
5446,100366340
5446,100645090
5955,100364230
5959,100498525
5959,100364903
5959,100369162
5259,100454856
5446,100498525
5955,101022661
5004,101119890
5004,100074079
5004,100645090
5959,100454856
5959,101119890
5258,100366340
5259,100498525
5446,101022661
5004,100806864
5446,101119890
5258,100806864
5446,100806864
5959,100074079
5955,100806864
5955,100454856
5955,100645090
5955,100498525
5258,100368536
5446,100074079
5955,101119890
5959,100364230
5446,100368536
5955,100366340
5259,100074079
5959,100366340
5446,100369162
5259,101022661
5955,101059711
5259,100645090
5258,100938159
5959,100367166
5955,100350569
5259,100455541
5004,101234485
5004,100351456
5258,100783868
5446,100896392
5959,100783868
5446,100350135
5955,100084616
5259,100367166
